iter	Passed	Remaining
561	2868	32860
562	2873	32850
563	2878	32844
564	2882	32834
565	2887	32822
566	2892	32812
567	2896	32803
568	2901	32792
569	2905	32780
570	2910	32768
571	2914	32756
572	2919	32744
573	2923	32733
574	2928	32722
575	2932	32710
576	2937	32699
577	2942	32689
578	2946	32680
579	2951	32670
580	2956	32658
581	2960	32648
582	2965	32640
583	2970	32630
584	2974	32618
585	2979	32606
586	2983	32594
587	2987	32583
588	2992	32575
589	2997	32566
590	3002	32557
591	3006	32545
592	3011	32533
593	3015	32524
594	3020	32514
595	3024	32503
596	3029	32492
597	3034	32482
598	3038	32470
599	3045	32480
600	3050	32483
601	3057	32490
602	3063	32496
603	3069	32499
604	3073	32488
605	3078	32480
606	3082	32468
607	3087	32457
608	3092	32448
609	3096	32439
610	3101	32428
611	3105	32418
612	3110	32405
613	3114	32395
614	3119	32382
615	3123	32371
616	3128	32360
617	3132	32348
618	3136	32337
619	3141	32327
620	3146	32316
621	3150	32305
622	3155	32294
623	3159	32285
624	3164	32279
625	3169	32268
626	3173	32258
627	3178	32246
628	3182	32235
629	3187	32224
630	3191	32213
631	3196	32203
632	3200	32192
633	3204	32181
634	3209	32170
635	3214	32161
636	3218	32150
637	3223	32140
638	3227	32130
639	3232	32122
640	3239	32133
641	3245	32142
642	3250	32139
643	3257	32146
644	3263	32155
645	3269	32160
646	3274	32152
647	3279	32144
648	3283	32134
649	3288	32124
650	3292	32115
651	3297	32106
652	3302	32096
653	3307	32089
654	3311	32079
655	3316	32070
656	3320	32061
657	3325	32052
658	3329	32041
659	3334	32031
660	3339	32021
661	3343	32010
662	3348	32000
663	3352	31990
664	3357	31980
665	3361	31970
666	3366	31959
667	3370	31950
668	3375	31941
669	3379	31931
670	3384	31921
671	3388	31911
672	3393	31902
673	3397	31891
674	3402	31881
675	3406	31870
676	3411	31861
677	3415	31851
678	3420	31841
679	3424	31832
680	3429	31825
681	3434	31818
682	3440	31820
683	3446	31824
684	3452	31829
685	3459	31837
686	3465	31841
687	3470	31841
688	3475	31832
689	3479	31823
690	3484	31815
691	3488	31804
692	3493	31794
693	3498	31785
694	3502	31774
695	3506	31764
696	3511	31754
697	3515	31744
698	3520	31733
699	3524	31723
700	3529	31714
701	3534	31705
702	3538	31696
703	3543	31687
704	3547	31677
705	3552	31668
706	3557	31661
707	3561	31652
708	3566	31645
709	3570	31635
710	3579	31660
711	3584	31659
712	3590	31662
713	3596	31662
714	3601	31658
715	3606	31650
716	3614	31669
717	3620	31680
718	3626	31684
719	3632	31684
720	3639	31695
721	3645	31697
722	3652	31707
723	3658	31716
724	3665	31724
725	3670	31722
726	3676	31723
727	3682	31728
728	3687	31723
729	3692	31716
730	3698	31716
731	3703	31713
732	3708	31707
733	3714	31706
734	3719	31708
735	3725	31706
736	3731	31706
737	3736	31706
738	3742	31703
739	3747	31700
740	3754	31709
741	3760	31713
742	3765	31712
743	3771	31713
744	3777	31713
745	3782	31710
746	3787	31707
747	3793	31707
748	3798	31705
749	3804	31700
750	3809	31697
751	3815	31699
752	3820	31696
753	3825	31692
754	3832	31701
755	3839	31710
756	3846	31719
757	3853	31729
758	3860	31740
759	3866	31742
760	3871	31744
761	3878	31748
762	3883	31745
763	3888	31738
764	3894	31739
765	3899	31735
766	3904	31729
767	3910	31730
768	3915	31729
769	3920	31723
770	3927	31726
771	3932	31728
772	3937	31721
773	3943	31720
774	3949	31722
775	3955	31725
776	3960	31718
777	3966	31722
778	3973	31728
779	3978	31727
780	3983	31720
781	3989	31720
782	3995	31723
783	4000	31720
784	4006	31716
785	4011	31715
786	4016	31710
787	4021	31704
788	4027	31705
789	4034	31717
790	4041	31721
791	4048	31730
792	4055	31740
793	4061	31747
794	4067	31746
795	4073	31748
796	4078	31742
797	4084	31742
798	4089	31740
799	4095	31742
800	4101	31739
801	4107	31740
802	4112	31740
803	4117	31734
804	4123	31733
805	4128	31730
806	4134	31728
807	4141	31734
808	4146	31733
809	4152	31732
810	4157	31726
811	4163	31725
812	4169	31731
813	4176	31740
814	4181	31733
815	4186	31724
816	4190	31715
817	4195	31708
818	4200	31698
819	4204	31689
820	4209	31679
821	4213	31671
822	4218	31664
823	4223	31655
824	4227	31645
825	4233	31640
826	4240	31648
827	4246	31651
828	4252	31657
829	4258	31658
830	4264	31659
831	4271	31664
832	4275	31656
833	4280	31647
834	4285	31637
835	4290	31631
836	4294	31622
837	4300	31619
838	4304	31610
839	4309	31602
840	4314	31593
841	4318	31583
842	4323	31574
843	4327	31567
844	4332	31557
845	4336	31548
846	4341	31537
847	4346	31530
848	4350	31521
849	4355	31511
850	4359	31502
851	4364	31492
852	4368	31483
853	4373	31474
854	4378	31465
855	4382	31456
856	4387	31447
857	4391	31438
858	4396	31429
859	4400	31420
860	4405	31412
861	4410	31403
862	4414	31394
863	4419	31384
864	4423	31375
865	4428	31366
866	4434	31369
867	4440	31372
868	4446	31372
869	4453	31376
870	4459	31377
871	4464	31377
872	4469	31370
873	4474	31361
874	4478	31352
875	4483	31346
876	4489	31342
877	4493	31333
878	4500	31336
879	4506	31340
880	4512	31344
881	4519	31350
882	4525	31353
883	4531	31353
884	4538	31360
885	4545	31367
886	4552	31375
887	4559	31381
888	4564	31379
889	4571	31382
890	4577	31387
891	4584	31392
892	4590	31396
893	4596	31391
894	4602	31396
895	4608	31398
896	4614	31395
897	4621	31402
898	4627	31407
899	4634	31412
900	4640	31415
901	4647	31421
902	4654	31426
903	4660	31427
904	4667	31431
905	4672	31430
906	4678	31427
907	4685	31435
908	4692	31441
909	4698	31444
910	4704	31443
911	4709	31436
912	4715	31438
913	4720	31435
914	4725	31426
915	4732	31432
916	4738	31434
917	4744	31430
918	4750	31434
919	4755	31426
920	4760	31418
921	4766	31420
922	4771	31412
923	4776	31408
924	4783	31413
925	4789	31418
926	4795	31418
927	4801	31416
928	4806	31407
929	4812	31407
930	4818	31407
931	4822	31400
932	4829	31403
933	4835	31407
934	4842	31412
935	4848	31414
936	4855	31418
937	4861	31420
938	4868	31423
939	4873	31420
940	4879	31420
941	4885	31419
942	4890	31415
943	4896	31414
944	4901	31404
945	4906	31400
946	4912	31399
947	4917	31391
948	4922	31383
949	4928	31385
950	4933	31377
951	4938	31371
952	4944	31372
953	4949	31364
954	4953	31356
955	4959	31357
956	4964	31349
957	4969	31340
958	4975	31343
959	4980	31336
960	4985	31329
961	4991	31329
962	4996	31325
963	5001	31318
964	5007	31319
965	5013	31314
966	5018	31307
967	5024	31309
968	5029	31302
969	5035	31304
970	5042	31307
971	5048	31309
972	5055	31312
973	5061	31314
974	5068	31318
975	5074	31322
976	5079	31314
977	5085	31314
978	5091	31311
979	5095	31303
980	5101	31299
981	5107	31300
982	5112	31292
983	5117	31287
984	5123	31288
985	5128	31283
986	5133	31277
987	5140	31282
988	5145	31274
989	5150	31267
990	5155	31259
991	5160	31252
992	5165	31245
993	5169	31237
994	5174	31227
995	5178	31216
996	5183	31208
997	5187	31199
998	5192	31191
999	5197	31182
1000	5201	31173
1001	5206	31164
1002	5210	31156
1003	5215	31147
1004	5219	31137
1005	5224	31131
1006	5229	31121
1007	5235	31124
1008	5242	31127
1009	5248	31127
1010	5255	31130
1011	5262	31135
1012	5268	31138
1013	5274	31137
1014	5280	31139
1015	5287	31142
1016	5293	31140
1017	5299	31142
1018	5306	31145
1019	5312	31146
1020	5318	31148
1021	5325	31151
1022	5331	31152
1023	5337	31150
1024	5343	31146
1025	5349	31150
1026	5356	31151
1027	5362	31150
1028	5367	31144
1029	5371	31135
1030	5378	31137
1031	5383	31132
1032	5388	31125
1033	5395	31128
1034	5399	31120
1035	5404	31113
1036	5411	31115
1037	5416	31108
1038	5420	31099
1039	5427	31102
1040	5433	31100
1041	5439	31101
1042	5445	31098
1043	5451	31102
1044	5458	31105
1045	5464	31107
1046	5471	31109
1047	5477	31111
1048	5484	31114
1049	5491	31115
1050	5496	31113
1051	5501	31104
1052	5507	31104
1053	5512	31099
1054	5517	31091
1055	5523	31093
1056	5529	31087
1057	5533	31079
1058	5540	31081
1059	5545	31072
1060	5549	31063
1061	5556	31065
1062	5561	31059
1063	5565	31051
1064	5572	31052
1065	5577	31046
1066	5581	31037
1067	5587	31036
1068	5593	31033
1069	5598	31024
1070	5604	31028
1071	5609	31021
1072	5614	31013
1073	5620	31014
1074	5625	31007
1075	5632	31007
1076	5638	31008
1077	5644	31005
1078	5651	31011
1079	5658	31016
1080	5665	31018
1081	5671	31020
1082	5677	31017
1083	5681	31009
1084	5688	31011
1085	5694	31012
1086	5700	31011
1087	5706	31008
1088	5711	30999
1089	5717	30998
1090	5723	30997
1091	5727	30988
1092	5734	30989
1093	5739	30983
1094	5743	30974
1095	5750	30974
1096	5755	30971
1097	5760	30962
1098	5766	30961
1099	5771	30957
1100	5776	30949
1101	5782	30949
1102	5788	30945
1103	5793	30938
1104	5799	30939
1105	5804	30934
1106	5809	30927
1107	5815	30927
1108	5821	30923
1109	5827	30924
1110	5834	30926
1111	5840	30927
1112	5847	30930
1113	5854	30931
1114	5860	30933
1115	5867	30934
1116	5873	30936
1117	5880	30936
1118	5886	30935
1119	5891	30927
1120	5895	30920
1121	5900	30912
1122	5905	30904
1123	5910	30898
1124	5916	30899
1125	5921	30891
1126	5926	30885
1127	5933	30885
1128	5937	30877
1129	5942	30869
1130	5946	30860
1131	5951	30851
1132	5955	30841
1133	5962	30841
1134	5968	30839
1135	5972	30831
1136	5977	30823
1137	5982	30816
1138	5986	30806
1139	5991	30798
1140	5996	30789
1141	6000	30780
1142	6005	30771
1143	6009	30761
1144	6013	30752
1145	6018	30744
1146	6023	30734
1147	6029	30734
1148	6035	30734
1149	6041	30732
1150	6047	30732
1151	6054	30732
1152	6059	30726
1153	6064	30719
1154	6068	30711
1155	6073	30702
1156	6077	30693
1157	6082	30684
1158	6086	30676
